bank,sub,clip_id,usa_payload_bytes,jp_payload_bytes,usa_frames,jp_frames,usa_seconds,jp_seconds,max_payload_bytes,max_seconds,max_subfile_bytes,max_region,max_header_patch,max_flag_patch
1513,18,85a6,60288,54528,3768,3408,4.396000,3.976000,60288,4.396000,63488,usa,,eb51:01;eb61:07
1513,19,85a7,83200,88832,5200,5552,6.066667,6.477333,88832,6.477333,92160,jp,15:5b;3d:83;3e:04;85:5f;91:5b;95:5b;b0:40;b1:40,15ab1:01;15ac1:07
1513,20,85a8,55552,74624,3472,4664,4.050667,5.441333,74624,5.441333,77824,jp,14:80;15:23;16:01;3d:82;3e:46;85:27;86:01;90:80;91:23;92:01;94:80;95:23;96:01;b0:40;b1:40,12351:01;12361:07
1513,21,85a9,24192,22784,1512,1424,1.764000,1.661333,24192,1.764000,26624,usa,,5df1:01;5e01:07
1513,22,85aa,15360,15360,960,960,1.120000,1.120000,15360,1.120000,18432,usa,,3bb1:01;3bc1:07
1513,23,85ab,13952,18816,872,1176,1.017333,1.372000,18816,1.372000,22528,jp,14:80;15:49;3d:52;85:4f;91:49;94:80;95:49;b0:40;b1:40,4931:01;4941:07
1513,24,85ac,34688,32256,2168,2016,2.529333,2.352000,34688,2.529333,36864,usa,,8751:01;8761:07
1513,25,85ad,78336,76800,4896,4800,5.712000,5.600000,78336,5.712000,81920,usa,,131e1:01;131f1:07
1513,26,85ae,73600,61312,4600,3832,5.366667,4.470667,73600,5.366667,75776,usa,,11f31:01;11f41:07
1513,27,85af,20224,16640,1264,1040,1.474667,1.213333,20224,1.474667,22528,usa,,4e71:01;4e81:07
1513,28,85b0,12928,11136,808,696,0.942667,0.812000,12928,0.942667,16384,usa,,3261:01;3271:07
1513,29,85b1,78592,95232,4912,5952,5.730667,6.944000,95232,6.944000,98304,jp,15:74;3d:83;3e:20;85:77;91:74;95:74;b0:40;b1:40,173e1:01;173f1:07
